gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1932935920	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TOPE:PNRA004	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Parque NacionalRío Abiseo	San Martin	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.935359	-77.265357											2433401	2433401	OCCURRENCE		Rio Abiseo National Park-SERNANP					CC_BY_NC_4_0		ranger			2022-01-30T11:40:19.352Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
1932935919	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC039	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Marcapata	Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.590333	-70.953833											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.375Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1932935918	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CIMA077	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Cordillera Azul National Park	Not available	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.102	-76.02							2005-01-01T00:00:00			2005	2433401	2433401	OCCURRENCE		Cordillera Azul National Park- SERNANP/CIMA					CC_BY_NC_4_0		rangers			2022-01-30T11:40:19.374Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935917	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:PNM2014018	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE	Manu National Park	Cuzco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-12.517783	-72.051136											2433401	2433401	OCCURRENCE		Cordillera Azul National Park- SERNANP/WCS-Peru					CC_BY_NC_4_0		rangers			2022-01-30T11:40:19.372Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TAXON_MATCH_FUZZY
1932935916	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CIMA088	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Cordillera Azul National Park	Not available	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.13	-76.05							2005-01-01T00:00:00			2005	2433401	2433401	OCCURRENCE		Cordillera Azul National Park- SERNANP/CIMA					CC_BY_NC_4_0		rangers			2022-01-30T11:40:19.372Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935915	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TOPE:PNRA019	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Parque NacionalRío Abiseo	San Martin	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.954274	-77.280433											2433401	2433401	OCCURRENCE		Rio Abiseo National Park-SERNANP					CC_BY_NC_4_0		ranger			2022-01-30T11:40:19.374Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
1932935914	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:INVS005	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornartus		PE		Piura	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-5.11	-79.35											2433401	2433401	OCCURRENCE		Centro para la Sostenibilidad Ambiental					CC_BY_NC_4_0		-			2022-01-30T11:40:19.373Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
1932935913	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CDC028	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Kos_…¨±ipata	Cusco	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-13.124	-71.5845											2433401	2433401	OCCURRENCE		Centro de Datos para la Conservación					CC_BY_NC_4_0		-			2022-01-30T11:40:19.377Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935912	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TO:PE:CIMA046	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Cordillera Azul National Park	Not available	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.455	-76.16							2004-01-01T00:00:00			2004	2433401	2433401	OCCURRENCE		Cordillera Azul National Park- SERNANP/CIMA					CC_BY_NC_4_0		rangers			2022-01-30T11:40:19.376Z		GEODETIC_DATUM_ASSUMED_WGS84
1932935911	375eb3fe-af43-4d37-815a-d8bd891e8ca5	TOPE:PNRA018	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Tremarctos	Tremarctos ornatus		SPECIES	Tremarctos ornatus (F.G.Cuvier, 1825)	Tremarctos ornatus		PE	Parque NacionalRío Abiseo	San Martin	PRESENT		1e36575b-aaaf-4171-b226-846f766a516d	-7.858865	-77.436838											2433401	2433401	OCCURRENCE		Rio Abiseo National Park-SERNANP					CC_BY_NC_4_0		ranger			2022-01-30T11:40:19.378Z		GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
